Date,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2021-10-11,33.5432,33.6358,33.9733
2021-10-12,33.2485,33.3414,33.6679
2021-10-13,33.1089,33.201049999999995,33.530950000000004
2021-10-14,32.9693,33.0607,33.394
2021-10-15,32.9718,33.0652,33.3946
2021-10-16,33.03706666666667,33.130766666666666,33.46863333333333
2021-10-17,33.102333333333334,33.19633333333333,33.54266666666667
2021-10-18,33.1676,33.2619,33.6167
2021-10-19,33.0834,33.1791,33.5216
2021-10-20,33.1563,33.2513,33.5927
2021-10-21,33.1078,33.2018,33.5518
2021-10-22,33.065025,33.1596,33.510025
2021-10-23,33.02225,33.1174,33.46825
2021-10-24,32.979475,33.0752,33.426475
2021-10-25,32.9367,33.033,33.3847
2021-10-26,32.8188,32.9166,33.2501
2021-10-27,32.9729,33.0649,33.3952
2021-10-28,33.047,33.1349,33.4808
2021-10-29,32.9153,33.0077,33.3532
2021-10-30,32.97646666666667,33.073033333333335,33.4197
2021-10-31,33.03763333333333,33.13836666666666,33.486200000000004
2021-11-01,33.0988,33.2037,33.5527
2021-11-02,33.0319,33.1269,33.4685
2021-11-03,33.0648,33.1603,33.5091
2021-11-04,33.0867,33.1802,33.5269
2021-11-05,33.078,33.1731,33.5082
2021-11-06,33.001666666666665,33.09643333333333,33.434133333333335
2021-11-07,32.925333333333334,33.01976666666667,33.36006666666667
2021-11-08,32.849,32.9431,33.286
2021-11-09,32.5449,32.6335,32.9728
2021-11-10,32.5316,32.6217,32.9499
2021-11-11,32.6211,32.7084,33.0443
2021-11-12,32.5482,32.642,32.9764
2021-11-13,32.51136666666667,32.605266666666665,32.94583333333333
2021-11-14,32.47453333333333,32.568533333333335,32.91526666666667
2021-11-15,32.4377,32.5318,32.8847
2021-11-16,32.4707,32.5651,32.9009
2021-11-17,32.51,32.6034,32.936
2021-11-18,32.3562,32.4485,32.805
2021-11-19,32.3493,32.4434,32.7918
2021-11-20,32.4261,32.518633333333334,32.86686666666667
2021-11-21,32.502900000000004,32.59386666666666,32.94193333333334
2021-11-22,32.5797,32.6691,33.017
2021-11-23,32.8006,32.894,33.223
2021-11-24,32.9913,33.0815,33.4162
2021-11-25,33.0544,33.1475,33.4829
2021-11-26,33.2636,33.3598,33.7017
2021-11-27,33.32406666666667,33.41976666666667,33.7642
2021-11-28,33.38453333333333,33.479733333333336,33.8267
2021-11-29,33.445,33.5397,33.8892
2021-11-30,33.4278,33.5226,33.8569
2021-12-01,33.434,33.53,33.8768
2021-12-02,33.5141,33.6101,33.947
2021-12-03,33.6565,33.7437,34.0754
2021-12-04,33.63195,33.719775,34.052175000000005
2021-12-05,33.6074,33.69585,34.02895
2021-12-06,33.58285,33.671925,34.005725
2021-12-07,33.5583,33.648,33.9825
2021-12-08,33.2735,33.3646,33.7102
2021-12-09,33.1515,33.2432,33.5815
2021-12-10,33.157399999999996,33.2501,33.589974999999995
2021-12-11,33.1633,33.257000000000005,33.59845
2021-12-12,33.169200000000004,33.2639,33.606925000000004
2021-12-13,33.1751,33.2708,33.6154
2021-12-14,33.1341,33.2273,33.5809
2021-12-15,33.1395,33.2288,33.5957
2021-12-16,33.1557,33.2499,33.598
2021-12-17,33.1231,33.219,33.5746
2021-12-18,33.1562,33.249966666666666,33.59443333333333
2021-12-19,33.1893,33.28093333333334,33.614266666666666
2021-12-20,33.2224,33.3119,33.6341
2021-12-21,33.446,33.5428,33.8629
2021-12-22,33.4513,33.5474,33.8924
2021-12-23,33.3513,33.4419,33.7747
2021-12-24,33.2573,33.3487,33.7126
2021-12-25,33.24163333333333,33.33383333333333,33.69253333333334
2021-12-26,33.225966666666665,33.31896666666667,33.672466666666665
2021-12-27,33.2103,33.3041,33.6524
2021-12-28,33.2695,33.3619,33.7119
2021-12-29,33.2906,33.3864,33.7441
2021-12-30,33.1533,33.2469,33.5929
2021-12-31,33.132220000000004,33.225319999999996,33.5692
2022-01-01,33.11114,33.203739999999996,33.545500000000004
2022-01-02,33.09006,33.18216,33.5218
2022-01-03,33.068979999999996,33.16058,33.4981
2022-01-04,33.0479,33.139,33.4744
2022-01-05,32.9552,33.0446,33.3686
2022-01-06,33.1568,33.2234,33.5319
2022-01-07,33.3216,33.4151,33.7446
2022-01-08,33.3469,33.44096666666667,33.774166666666666
2022-01-09,33.3722,33.466833333333334,33.803733333333334
2022-01-10,33.3975,33.4927,33.8333
2022-01-11,33.2584,33.3549,33.6961
2022-01-12,33.112,33.2012,33.5231
2022-01-13,33.0058,33.1035,33.4476
2022-01-14,32.9458,33.0409,33.3721
2022-01-15,32.9641,33.059133333333335,33.38956666666667
2022-01-16,32.9824,33.07736666666666,33.40703333333334
2022-01-17,33.0007,33.0956,33.4245
2022-01-18,32.755,32.8501,33.1751
2022-01-19,32.9345,33.0267,33.3568
2022-01-20,32.6657,32.7609,33.0887
2022-01-21,32.7664,32.8591,33.1835
2022-01-22,32.76636666666666,32.859899999999996,33.185833333333335
2022-01-23,32.766333333333336,32.8607,33.18816666666667
2022-01-24,32.7663,32.8615,33.1905
2022-01-25,32.7597,32.8548,33.1854
2022-01-26,32.6739,32.7811,33.1387
2022-01-27,32.9141,33.0119,33.3394
2022-01-28,33.0122,33.1067,33.4418
2022-01-29,33.06426666666667,33.15886666666666,33.49463333333333
2022-01-30,33.11633333333333,33.21103333333333,33.547466666666665
2022-01-31,33.1684,33.2632,33.6003
2022-02-01,32.9766,33.0701,33.4062
2022-02-02,32.9407,33.0323,33.3648
2022-02-03,32.9015,32.9949,33.3382
2022-02-04,32.7734,32.8656,33.1956
2022-02-05,32.74556666666667,32.83906666666667,33.166533333333334
2022-02-06,32.717733333333335,32.812533333333334,33.13746666666667
2022-02-07,32.6899,32.786,33.1084
2022-02-08,32.7005,32.7978,33.1364
2022-02-09,32.6133,32.7111,33.0478
2022-02-10,32.461,32.5578,32.886
2022-02-11,32.4544,32.55,32.8774
2022-02-12,32.41556666666666,32.51163333333333,32.8379
2022-02-13,32.376733333333334,32.47326666666667,32.7984
2022-02-14,32.3379,32.4349,32.7589
2022-02-15,32.0959,32.1928,32.5224
2022-02-16,32.03845,32.134100000000004,32.464349999999996
2022-02-17,31.981,32.0754,32.4063
2022-02-18,31.8783,31.9742,32.3059
2022-02-19,31.8786,31.973566666666667,32.30506666666667
2022-02-20,31.8789,31.972933333333334,32.304233333333336
2022-02-21,31.8792,31.9723,32.3034
2022-02-22,32.1176,32.218,32.5484
2022-02-23,32.1267,32.2289,32.5599
2022-02-24,32.1667,32.2612,32.592
2022-02-25,32.276,32.3742,32.7004
2022-02-26,32.3382,32.43646666666667,32.76416666666667
2022-02-27,32.400400000000005,32.498733333333334,32.827933333333334
2022-02-28,32.4626,32.561,32.8917
2022-03-01,32.3695,32.4663,32.7934
2022-03-02,32.4156,32.5084,32.8369
2022-03-03,32.2596,32.3568,32.685
2022-03-04,32.3718,32.466,32.7927
2022-03-05,32.4439,32.5398,32.86666666666667
2022-03-06,32.516,32.6136,32.94063333333334
2022-03-07,32.5881,32.6874,33.0146
2022-03-08,32.8276,32.9265,33.2526
2022-03-09,32.8986,32.9983,33.3326
2022-03-10,32.7883,32.8888,33.2195
2022-03-11,32.9491,33.0502,33.3846
2022-03-12,33.01176666666667,33.11053333333333,33.44733333333333
2022-03-13,33.07443333333333,33.17086666666667,33.51006666666667
2022-03-14,33.1371,33.2312,33.5728
2022-03-15,33.2318,33.3298,33.6557
2022-03-16,33.1879,33.2867,33.6075
2022-03-17,33.0068,33.0996,33.4203
2022-03-18,33.0512,33.1458,33.4598
2022-03-19,33.083666666666666,33.17946666666667,33.500033333333334
2022-03-20,33.11613333333334,33.21313333333333,33.54026666666667
2022-03-21,33.1486,33.2468,33.5805
2022-03-22,33.3739,33.4731,33.8054
2022-03-23,33.3053,33.3946,33.7048
2022-03-24,33.3839,33.4813,33.8059
2022-03-25,33.2403,33.3367,33.6625
2022-03-26,33.30616666666666,33.402566666666665,33.72873333333333
2022-03-27,33.372033333333334,33.46843333333334,33.79496666666667
2022-03-28,33.4379,33.5343,33.8612
2022-03-29,33.4651,33.5625,33.8957
2022-03-30,33.1934,33.2688,33.5743
2022-03-31,33.0429,33.1393,33.4553
2022-04-01,33.1007,33.1956,33.5272
2022-04-02,33.136833333333335,33.233,33.5661
2022-04-03,33.17296666666667,33.2704,33.605000000000004
2022-04-04,33.2091,33.3078,33.6439
2022-04-05,33.1989,33.2968,33.6219
2022-04-06,33.21785,33.315349999999995,33.64149999999999
2022-04-07,33.2368,33.3339,33.6611
2022-04-08,33.2992,33.3985,33.7248
2022-04-09,33.318466666666666,33.41746666666666,33.7408
2022-04-10,33.33773333333333,33.43643333333333,33.7568
2022-04-11,33.357,33.4554,33.7728
2022-04-12,33.4084,33.5018,33.8338
2022-04-13,33.40708333333333,33.50148333333333,33.83383333333333
2022-04-14,33.405766666666665,33.50116666666667,33.833866666666665
2022-04-15,33.40445,33.50085,33.8339
2022-04-16,33.40313333333334,33.50053333333333,33.833933333333334
2022-04-17,33.40181666666667,33.50021666666667,33.83396666666667
2022-04-18,33.4005,33.4999,33.834
2022-04-19,33.4611,33.5584,33.8862
2022-04-20,33.5589,33.6571,33.9838
2022-04-21,33.5518,33.6511,33.9836
2022-04-22,33.6396,33.7381,34.0791
2022-04-23,33.67333333333333,33.7708,34.107299999999995
2022-04-24,33.70706666666667,33.8035,34.1355
2022-04-25,33.7408,33.8362,34.1637
